Id,SalePrice
1461,120485.44099902666
1462,164239.27708114145
1463,179303.9334305947
1464,191217.6809608926
1465,189833.38815441175
1466,178312.1774096393
1467,168320.4282500383
1468,162990.11101583333
1469,184497.29281745615
1470,122680.09218500135
1471,203955.31644246273
1472,94274.09355723683
1473,100281.4624860986
1474,149444.90735181965
1475,121355.5742321226
1476,385616.179024896
1477,264525.94216099277
1478,298871.952702367
1479,277947.6686589149
1480,471143.0491685703
1481,339907.44431574235
1482,206921.032585155
1483,170405.40755640878
1484,174084.8427310812
1485,176137.83911511462
1486,193774.73145385692
1487,393624.61244354106
1488,231756.1374807776
1489,205211.01302421553
1490,213943.08237156033
1491,195181.2634045394
1492,96847.71570821656
1493,192347.58935310727
1494,294317.8629420537
1495,273653.8035545355
1496,237591.02221245397
1497,192228.49721220744
1498,162477.65925435864
1499,166742.17331834752
1500,154404.81089284088
1501,172991.39024366628
1502,160283.92301851523
1503,305439.9519179478
1504,234504.01160506788
1505,223112.51815165626
1506,194173.63710579084
1507,232765.05485344923
1508,205391.67100511456
1509,171075.72205103774
1510,145442.97316137594
1511,145886.71144841943
1512,173803.52713159076
1513,135332.63558641297
1514,167842.02047157753
1515,213314.6149862064
1516,158774.4319113262
1517,160838.78949129378
1518,131338.31658710464
1519,220999.72558289598
1520,133022.96175557532
1521,136587.47694303113
1522,165880.94482472766
1523,105688.4429573951
1524,123004.79471888735
1525,124540.76176293996
1526,120229.82031998134
1527,107292.42302746588
1528,128546.86446035955
1529,149464.7359963461
1530,180226.9618433168
1531,98783.82234434485
1532,104516.53128115383
1533,153215.37234854864
1534,125284.90450492184
1535,147534.1509804002
1536,111092.15292891554
1537,84488.9320389395
1538,184567.5891720992
1539,200883.29322719557
1540,78190.11429708145
1541,135555.98546022284
1542,131786.40932702532
1543,223606.76986156282
1544,75914.51545130994
1545,111457.37881513848
1546,132238.4830518217
1547,131544.04560145224
1548,135929.02120097948
1549,123732.0567750773
1550,144714.4954468686
1551,113837.29402162622
1552,127472.75744236847
1553,148636.36345547638
1554,110845.17183543283
1555,156313.4344473111
1556,82751.6928540624
1557,115923.57888971397
1558,94367.76153258118
1559,89565.4738308796
1560,137426.68874876655
1561,134309.37302020664
1562,125634.62471044464
1563,122004.27305282772
1564,158843.70343474197
1565,141450.93461136008
1566,227964.83004171686
1567,79222.68837905032
1568,229828.68594619204
1569,143314.45843941774
1570,134391.7169390758
1571,123326.85167923754
1572,150115.86369207632
1573,242739.5992367361
1574,115682.95529542319
1575,220420.04162794538
1576,223901.69642908836
1577,200019.7470984691
1578,152465.0268466346
1579,141501.15217863652
1580,197801.30857017782
1581,149560.2197130346
1582,125682.10388215692
1583,332574.760358439
1584,229324.806694108
1585,140859.82672817176
1586,73320.76894512556
1587,101564.16714415675
1588,150972.00436841146
1589,98120.51744677362
1590,129495.0229069569
1591,91693.30445843619
1592,121709.02359404575
1593,134732.2638927847
1594,131692.66015824885
1595,108680.5712781798
1596,231830.57756297645
1597,185094.3870025683
1598,213421.2984319846
1599,190882.62983878632
1600,183982.32539763767
1601,79531.41542193809
1602,114934.91209517914
1603,103007.62123256543
1604,279167.859877487
1605,247451.06287869925
1606,170737.49854102635
1607,167820.64258532762
1608,219554.90919934126
1609,195791.48024298265
1610,153534.31205312896
1611,141545.58238655614
1612,173493.26200596485
1613,161362.63989976095
1614,122954.81963694829
1615,89242.67989039492
1616,69776.43280435965
1617,90002.7266036624
1618,123039.15003137598
1619,146497.88066547972
1620,152085.1974274735
1621,130957.98100562567
1622,141512.61682905353
1623,304498.5847400943
1624,206056.4041693893
1625,123588.02580241834
1626,172823.7856093582
1627,187505.44901221452
1628,281718.20784208534
1629,187785.73929075204
1630,380762.5466145115
1631,222863.9762481603
1632,243095.3537626548
1633,171272.58603663815
1634,188332.59299942653
1635,188660.12283687724
1636,159075.52654361736
1637,186030.95012071202
1638,211689.01242602334
1639,187549.28865233285
1640,254810.57034116122
1641,181223.84130026368
1642,230071.05909949314
1643,218303.50148803185
1644,227901.33231663588
1645,194844.32240355466
1646,158448.03526691213
1647,157038.1035857416
1648,134716.6818108088
1649,134539.32208512642
1650,117719.84144900784
1651,117647.01790675089
1652,92908.9558097056
1653,97693.45503988021
1654,159533.9311741641
1655,150197.9733963394
1656,145471.663374117
1657,151874.75561319044
1658,146044.1965055999
1659,131675.50762298412
1660,152860.3387367303
1661,419444.89178783086
1662,407419.6884381112
1663,368244.37361796206
1664,398435.5318333402
1665,318166.0493007565
1666,336097.27254912484
1667,372870.7218018856
1668,345652.8318308591
1669,295943.24748838384
1670,359254.3635157106
1671,246304.0822439303
1672,447184.0029421725
1673,291412.3185492988
1674,242114.0715467381
1675,177778.58929539542
1676,180586.10676266637
1677,218985.77693050893
1678,442054.00683033123
1679,384296.361391795
1680,340907.30198654823
1681,290017.70933494676
1682,295029.79676979245
1683,177169.82531036387
1684,170927.70497582547
1685,179342.6611655325
1686,172545.9428988626
1687,167044.07702145516
1688,189718.39884206184
1689,193000.58999155604
1690,189456.38413441306
1691,176377.19527885108
1692,282515.4890374318
1693,166574.46181576845
1694,188840.22349125333
1695,169893.0219963943
1696,283561.31779710785
1697,170570.90368271727
1698,388177.8542492356
1699,319757.52661444165
1700,244597.06281928057
1701,265123.8983340431
1702,261496.63418630822
1703,255845.5851777696
1704,297924.55800187093
1705,239463.7464869709
1706,392910.377641553
1707,230299.11116357436
1708,206671.09873571602
1709,300351.3997706986
1710,225594.96689132604
1711,256183.42402003895
1712,265391.85330143326
1713,258903.50844419433
1714,222614.14614541933
1715,211431.47499257835
1716,182446.81977479806
1717,177540.8298216568
1718,135274.6441218596
1719,207543.40660393715
1720,246997.73335057826
